Date,BND,SPY,TSLA
2015-01-02,2218800,121465900,71466000
2015-01-05,5820100,169632600,80527500
2015-01-06,3887600,209151400,93928500
2015-01-07,2433400,125346700,44526000
2015-01-08,1873400,147217800,51637500
2015-01-09,1646100,158567300,70024500
2015-01-12,4397900,144396100,89254500
2015-01-13,2223400,214553300,67159500
2015-01-14,2481200,192991100,173278500
2015-01-15,4214500,176613900,78247500
2015-01-16,3631300,211879600,54048000
2015-01-20,3029500,130991100,67548000
2015-01-21,2473900,122942700,62295000
2015-01-22,2157400,174356000,61753500
2015-01-23,6255000,117516800,51579000
2015-01-26,7810500,92009700,48517500
2015-01-27,1154100,134044600,41715000
2015-01-28,1394600,168514300,47244000
2015-01-29,1551300,173585400,53221500
2015-01-30,10474400,197729700,45105000
2015-02-02,6070500,163107000,62238000
2015-02-03,1237200,124212900,72393000
2015-02-04,2945700,134306700,49581000
2015-02-05,2128200,97953200,52843500
2015-02-06,2907700,125672000,48658500
2015-02-09,1384600,87219000,52086000
2015-02-10,1447900,96164200,80857500
2015-02-11,1904000,91087800,146536500
2015-02-12,4662900,97545900,234744000
2015-02-13,1883000,93670400,92865000
2015-02-17,5281500,76968200,59694000
2015-02-18,3813000,80652900,40704000
2015-02-19,1322700,91462500,77311500
2015-02-20,3145800,140896400,89731500
2015-02-23,3952700,74411100,127497000
2015-02-24,2542200,72472300,99054000
2015-02-25,4934600,73061700,58642500
2015-02-26,2187500,72697900,97093500
2015-02-27,4094400,108076000,58231500
2015-03-02,2476100,87491400,118831500
2015-03-03,2648100,110325800,66484500
2015-03-04,1425400,114497200,63330000
2015-03-05,1340800,76873000,73155000
2015-03-06,1580000,188128000,100686000
2015-03-09,1982300,89818900,101050500
2015-03-10,3766100,157121300,83695500
2015-03-11,4829700,110145700,74623500
2015-03-12,8421500,93993500,62239500
2015-03-13,2114500,162410900,81514500
2015-03-16,1203700,136099200,84432000
2015-03-17,1471300,94510400,73411500
2015-03-18,5534300,228808500,72313500
2015-03-19,1208100,117917300,127128000
2015-03-20,1011200,177715100,64042500
2015-03-23,1572700,71784500,39474000
2015-03-24,2300500,77805300,54748500
2015-03-25,1559900,159521700,85956000
2015-03-26,2342500,153067200,61920000
2015-03-27,6542300,118939000,129073500
2015-03-30,1634800,96180400,151342500
2015-03-31,1996000,126768700,75399000
2015-04-01,3132700,137303600,56919000
2015-04-02,791200,86900900,75156000
2015-04-06,1768800,114368200,186837000
2015-04-07,977400,81236300,65218500
2015-04-08,3470700,89351900,94546500
2015-04-09,1025400,85548900,57003000
2015-04-10,4290100,72722900,61015500
2015-04-13,6046400,74436600,56373000
2015-04-14,1398100,75099900,45390000
2015-04-15,1022400,99529300,29286000
2015-04-16,1289900,68934900,24886500
2015-04-17,1693900,191113200,37048500
2015-04-20,2463600,92189500,38389500
2015-04-21,1788000,72559800,51487500
2015-04-22,1501300,78264600,117945000
2015-04-23,5518000,102585900,66168000
2015-04-24,1597900,61327400,36417000
2015-04-27,1591400,79358100,175089000
2015-04-28,1217700,86863500,91281000
2015-04-29,1905200,125684900,59041500
2015-04-30,4229900,161304900,58678500
2015-05-01,7173200,103399700,79225500
2015-05-04,1190000,70927200,66519000
2015-05-05,4175700,113326200,86953500
2015-05-06,3938900,135060200,79063500
2015-05-07,3602900,88244900,141838500
2015-05-08,1735900,155877300,70023000
2015-05-11,929200,75708100,85084500
2015-05-12,2139600,119727600,95451000
2015-05-13,2372000,94667900,81603000
2015-05-14,1485300,95934000,43438500
2015-05-15,1402700,76510100,67914000
2015-05-18,3747700,74549700,50298000
2015-05-19,4856500,72114600,55113000
2015-05-20,4097400,76857500,56334000
2015-05-21,2314100,64764600,29559000
2015-05-22,816600,57433500,33346500
2015-05-26,1178300,124308600,52480500
2015-05-27,2564500,93214000,51123000
2015-05-28,1073300,74974600,54709500
2015-05-29,2494300,124919600,56839500
2015-06-01,1362800,93338800,37576500
2015-06-02,1510000,91531000,32022000
2015-06-03,1390000,87820900,26722500
2015-06-04,1111300,151882800,36804000
2015-06-05,4115300,121704700,45330000
2015-06-08,4954500,89063300,75255000
2015-06-09,2883300,105034700,39166500
2015-06-10,1222800,134551300,51817500
2015-06-11,1815900,73876400,30661500
2015-06-12,1785100,135382400,21334500
2015-06-15,2082900,124384200,32793000
2015-06-16,2250700,85308200,29770500
2015-06-17,865700,126708600,82693500
2015-06-18,1210300,165867900,41740500
2015-06-19,1176700,130478700,36945000
2015-06-22,1020000,70696000,68416500
2015-06-23,1096000,68476800,58062000
2015-06-24,6836900,92307300,36184500
2015-06-25,2894500,97107400,42738000
2015-06-26,963000,104174800,57576000
2015-06-29,2168400,202621300,52183500
2015-06-30,1547800,182925100,46303500
2015-07-01,5399300,135979900,31518000
2015-07-02,1060100,104373700,107458500
